Name,Date,Parent item,Sub-item,👤 Assigned to,👥 Teams
Create Mock Data,"October 21, 2023 → October 22, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Look into robot_localization package for GPS/GNSS implementation,,,,,
Setup Supabase on VM,"September 16, 2023 → September 16, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Research how Supabase authentication works,"September 23, 2023 → September 30, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Download Gazbo,"February 3, 2024",,,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Get supabase auth to work,"October 14, 2023 → October 15, 2023",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
"When pressing alt or another key, the point being drawn for the drone path should adjust its altitude","January 13, 2024 → January 27, 2024",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Operating in Purdue airport airspace,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Re-load planned flight when clicking on drone,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Allow editing waypoints,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
draw drone path on the map,"February 4, 2024 → February 10, 2024",,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Part 135 for package delivery drones,,Legality (Tasks/Legality%20ea467eb4e7c64b7d94af60cbc4943b95.csv),,,Untitled (https://www.notion.so/7fa28fe73f34495490534767a824b397?pvs=21)
Setup NHost CLI,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Buy more server storage,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
setup monorepo,"February 11, 2024",,,Ethan Dawes (People/Ethan%20Dawes%2079bf69fcf0b449cab6f2dfba28de51ad.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Test ZED2,"February 10, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
prevent alt from going into ground,"February 12, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup postgis,"February 18, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Convert points in telemetry and flights tables to PostGIS points,,,,Ethan Dawes (People/Ethan%20Dawes%2079bf69fcf0b449cab6f2dfba28de51ad.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Be able to see past drone locations in the viewer by clicking timeline,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
Setup timescaledb,"February 18, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
add drone follow-along,,,,,Untitled (https://www.notion.so/6205ddeaa5244a90bbfc6b60c0c51d7c?pvs=21)
,,,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
,,,,,Untitled (https://www.notion.so/7fe43cd99d6c4ca7801f232cf0f590f2?pvs=21)
Wire jetson nano to pixhawk,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Wire power distribution board to ESCs,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Test ESCs with motors to make sure they work,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Do we need PWM extension board to control gimbal from PH?,"March 31, 2024",,,Seth Deegan (People/Seth%20Deegan%2040495c71ccb548d6a4dd9359a4c166c9.csv),Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
add reviews for hardware ordered,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
Design gimbal frame,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
wire connectors,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
wire escs to pixhawk,,,,,Untitled (https://www.notion.so/dea2b699c55d4048855d06718a2c67e0?pvs=21)
